state,district,win_name,win_party,dem_votes,rep_votes,other_votes
FL,12,Gus Bilirakis,R,"132,695","194,436","7,501"
FL,13,Charlie Crist,D,"182,563","134,183",0
FL,14,Kathy Castor,D,0,0,0
FL,15,Ross Spano,R,"133,686","151,064",0
FL,16,Vern Buchanan,R,"164,078","197,055",0
FL,17,Greg Steube,R,"117,074","193,185",0
FL,18,Brian Mast,R,"155,746","185,453",0
FL,19,Francis Rooney,R,"127,952","211,321",0
FL,20,Alcee Hastings,D,"201,793",0,0
FL,21,Lois Frankel,D,0,0,0
FL,22,Ted Deutch,D,"183,701","112,609",0
FL,23,Debbie Wasserman Schultz,D,"161,025","99,115","15,240"
FL,24,Frederica Wilson,D,0,0,0
FL,25,Mario Diaz-Balart,R,"84,034","128,611",0
FL,26,Debbie Mucarsel-Powell,D,"119,723","115,644",0
FL,27,Donna Shalala,D,"130,636","115,546","6,253"
GA,01,Buddy Carter,R,"105,546","144,467",0
GA,02,Sanford Bishop,D,"135,707","92,132",0
GA,03,Drew Ferguson,R,"100,733","191,700",0
GA,04,Hank Johnson,D,"225,879","60,817",0
GA,05,John Lewis,D,"273,039",0,0
GA,06,Lucy McBath,D,"159,268","156,396",0
GA,07,UNDECIDED,UNDECIDED,"138,914","139,804",0
GA,08,Austin Scott,R,0,"197,401",0
GA,09,Doug Collins,R,"57,823","224,412",0
GA,10,Jody Hice,R,"111,938","190,080",0
GA,11,Barry Loudermilk,R,"118,053","191,529",0
GA,12,Rick Allen,R,"100,986","148,092",0
GA,13,David Scott,D,"220,748","69,401",0
GA,14,Tom Graves,R,"53,841","175,482",0
HI,01,Ed Case,D,"134,603","42,480","7,057"
HI,02,Tulsi Gabbard,D,"153,132","44,816",0
ID,01,Russ Fulcher,R,"93,634","195,774","20,086"
ID,02,Mike Simpson,R,"110,386","170,280",0
IL,01,Bobby Rush,D,"176,560","49,976","16,506"
IL,02,Robin Kelly,D,"183,816","43,875",0
IL,03,Dan Lipinski,D,"155,940","56,350",0
IL,04,Chuy Garcia,D,"140,777","21,970",0
IL,05,Mike Quigley,D,"197,162","62,039",0
IL,06,Sean Casten,D,"156,346","139,667",0
IL,07,Danny Davis,D,"209,549","29,586",0
IL,08,Raja Krishnamoorthi,D,"124,908","65,576",0
IL,09,Jan Schakowsky,D,"218,618","76,216",0
IL,10,Brad Schneider,D,"152,411","80,618",0
IL,11,Bill Foster,D,"140,907","80,775",0
IL,12,Mike Bost,R,"116,985","134,009","7,823"
IL,13,Rodney Davis,R,"131,958","135,680",0
IL,14,Lauren Underwood,D,"142,261","131,819",0
IL,15,John Shimkus,R,"69,234","177,682",0
IL,16,Adam Kinzinger,R,"100,789","149,205",0
IL,17,Cheri Bustos,D,"139,461","86,218",0
IL,18,Darin LaHood,R,"93,330","193,543",0
ID,01,Peter Visclosky,D,"121,800","58,903",0
ID,02,Jackie Walorski,R,"103,216","125,230",0
ID,03,Jim Banks,R,"86,420","158,355",0
ID,04,Jim Baird,R,"83,200","148,603",0
ID,05,Susan Brooks,R,"126,586","175,768",0
ID,06,Greg Pence,R,"73,004","138,557","6,858"
ID,07,Andre Carson,D,"116,673","69,047",0
ID,08,Larry Bucshon,R,"86,409","157,209",0
ID,09,Trey Hollingsworth,R,"100,324","146,699",0
IA,01,Abby Finkenauer,D,"169,348","152,940","10,228"
IA,02,Dave Loebsack,D,"171,054","133,010","8,010"
IA,03,Cindy Axne,D,"169,886","164,656","11,976"
IA,04,Steve King,R,"146,698","157,221","8,251"
KS,01,Roger Marshall,R,"69,076","149,708",0
KS,02,Steve Watkins,R,"120,421","124,895","14,402"
KS,03,Sharice Davids,D,"164,253","136,104","7,643"
KS,04,Ron Estes,R,"93,384","138,856",0
KY,01,James Comer,R,"78,849","172,166",0
KY,02,Brett Guthrie,R,"79,994","171,700","5,681"
KY,03,John Yarmuth,D,"172,999","101,929","3,788"
KY,04,Thomas Massie,R,"90,533","162,943","8,318"
KY,05,Hal Rogers,R,"45,965","172,359",0
KY,06,Andy Barr,R,"144,730","154,468","3,684"
LA,01,Steve Scalise,R,"71,499","192,526","5,248"
LA,02,Cedric Richmond,D,"190,066",0,"45,788"
LA,03,Clay Higgins,R,"74,710","168,258","2,967"
LA,04,Mike Johnson,R,"72,923","139,307","4,612"
LA,05,Ralph Abraham,R,"67,113","149,010","7,810"
LA,06,Garret Graves,R,"76,697","186,502","5,254"
ME,01,Chellie Pingree,D,"198,853","109,714","29,569"
ME,02,UNDECIDED,UNDECIDED,"129,556","131,466","23,433"
MD,01,Andy Harris,R,"113,050","180,477","5,712"
MD,02,Dutch Ruppersberger,D,"157,764","74,493","4,966"
MD,03,John Sarbanes,D,"186,207","78,167","6,926"
MD,04,Anthony Brown,D,"197,439","51,687","4,940"
MD,05,Steny Hoyer,D,"204,043","80,229","7,014"
MD,06,David Trone,D,"144,386","98,764","7,343"
MD,07,Elijah Cummings,D,"188,516","53,637","5,435"
MD,08,Jamie Raskin,D,"192,854","91,019","4,745"
MA,01,Richard Neal,D,"81,290",0,0
MA,02,Jim McGovern,D,"179,868","86,292",0
MA,03,Lori Trahan,D,"171,303","92,744","12,473"
MA,04,Joe Kennedy,D,"108,914",0,0
MA,05,Katherine Clark,D,"228,521","72,353",0
MA,06,Seth Moulton,D,"216,282","104,379","11,244"
MA,07,Ayanna Pressley,D,"190,637",0,"2,481"
MA,08,Stephen Lynch,D,"162,613",0,"1,310"
MA,09,Bill Keating,D,"190,213","130,424",0
MI,01,Jack Bergman,R,"144,203","185,752",0
MI,02,Bill Huizenga,R,"131,195","168,843","5,226"
MI,03,Justin Amash,R,"124,981","162,038","7,163"
MI,04,John Moolenaar,R,"106,539","178,511",0
MI,05,Daniel Kildee,D,"164,521","99,269","12,645"
MI,06,Fred Upton,R,"134,069","147,437","11,923"
MI,07,Tim Walberg,R,"136,410","158,885",0
MI,08,Elissa Slotkin,D,"172,878","159,804","8,928"
MI,09,Andy Levin,D,"181,844","112,309","10,965"
MI,10,Paul Mitchell,R,"106,098","182,870","14,272"
MI,11,Haley Stevens,D,"179,976","155,331","10,450"
MI,12,Debbie Dingell,D,"183,063","74,483","7,855"
MI,13,Rashida Tlaib,D,"137,495",0,"24,685"
MI,14,Brenda Lawrence,D,"204,847","40,803","4,554"
MN,01,Jim Hagedorn,R,"144,891","146,202",0
MN,02,Angie Craig,D,"177,971","159,373",0
MN,03,Dean Phillips,D,"202,402","160,839",0
MN,04,Betty McCollum,D,"216,740","97,723","13,772"
MN,05,Ilhan Omar,D,"267,690","74,437",0
MN,06,Tom Emmer,R,"122,333","192,945",0
MN,07,Collin Peterson,D,"146,670","134,662",0
MN,08,Pete Stauber,R,"141,972","159,388","12,768"
MS,01,Trent Kelly,R,"74,241","154,447","1,611"
MS,02,Bennie Thompson,D,"148,977",0,"58,319"
MS,03,Michael Guest,R,"90,193","155,840","2,427"
MS,04,Steven Palazzo,R,"56,371","133,805","2,014"
MO,01,Lacy Clay,D,"216,479","45,255","8,641"
MO,02,Ann Wagner,R,"174,486","190,008","5,899"
MO,03,Blaine Luetkemeyer,R,"106,478","211,000","6,754"
MO,04,Vicky Hartzler,R,"93,861","185,245","6,994"
MO,05,Emanuel Cleaver,D,"173,592","100,695","7,665"
MO,06,Sam Graves,R,"97,515","199,580","7,859"
MO,07,Billy Long,R,"88,642","195,872","10,833"
MO,08,Jason Smith,R,"65,043","190,826","4,148"
MT,AL,Greg Gianforte,R,"227,036","251,611","13,951"
NE,01,Jeff Fortenberry,R,"91,426","140,248",0
NE,02,Don Bacon,R,"114,154","121,466",0
NE,03,Adrian Smith,R,"49,473","162,968",0
NV,01,Dina Titus,D,"100,643","46,963","4,515"
NV,02,Mark Amodei,R,"120,091","167,427",0
NV,03,Susie Lee,D,"148,436","122,527","15,098"
NV,04,Steven Horsford,D,"121,834","102,484","10,130"
NH,01,Chris Pappas,D,"155,904","131,034","4,162"
NH,02,Annie Kuster,D,"154,416","118,680","6,364"
NJ,01,Donald Norcross,D,"163,948","85,193","5,072"
NJ,02,Jeff Van Drew,D,"126,420","111,001","4,317"
NJ,03,UNDECIDED,UNDECIDED,"150,311","146,887","3,815"
NJ,04,Chris Smith,R,"123,995","159,965","4,209"
NJ,05,Josh Gottheimer,D,"148,021","116,505","3,568"
NJ,06,Frank Pallone,D,"135,770","78,570",0
NJ,07,Tom Malinowski,D,"158,892","144,802","2,505"
NJ,08,Albio Sires,D,"105,041","25,621","4,310"
NJ,09,Bill Pascrell,D,"121,236","50,499","1,462"
NJ,10,Donald Payne Jr.,D,"166,886","19,632","4,210"
NJ,11,Mikie Sherrill,D,"162,264","123,156","3,097"
NJ,12,Bonnie Watson Coleman,D,"168,253","77,270",0
NM,01,Deb Haaland,D,"145,021","89,297","11,185"
NM,02,Xochitl Torres Small,D,"99,440","96,712",0
NM,03,Ben R. Lujan,D,"154,292","76,129","13,200"
NY,01,Lee Zeldin,R,"112,343","130,919","2,756"
NY,02,Peter King,R,"106,996","122,103",0
NY,03,Tom Suozzi,D,"145,060","103,278",0
NY,04,Kathleen Rice,D,"149,078","95,187",0
NY,05,Gregory Meeks,D,"150,112",0,842
NY,06,Grace Meng,D,"103,823",0,"10,514"
NY,07,Nydia Velazquez,D,"137,444",0,"9,725"
NY,08,Hakeem Jeffries,D,"166,981",0,"10,477"
NY,09,Yvette Clarke,D,"167,199","19,336",707
NY,10,Jerrold Nadler,D,"146,749","33,931",0
NY,11,Max Rose,D,"95,458","84,665",700
NY,12,Carolyn Maloney,D,"194,974","27,838","3,319"
NY,13,Adriano Espaillat,D,"167,667","9,525",0
NY,14,Alexandria Ocasio-Cortez,D,"100,044","17,762","10,533"
NY,15,Jose E. Serrano,D,"112,798","4,647",0
NY,16,Eliot Engel,D,"165,825",0,"1,269"
NY,17,Nita Lowey,D,"157,275",0,"21,640"
NY,18,Sean Patrick Maloney,D,"130,420","106,381",0
NY,19,Antonio Delgado,D,"132,001","124,428","6,407"
NY,20,Paul Tonko,D,"163,148","83,788",0
NY,21,Elise Stefanik,R,"90,526","122,863","3,211"
NY,22,Anthony Brindisi,D,"117,779","116,357",0
NY,23,Thomas Reed,R,"100,495","122,881",0
NY,24,John Katko,R,"114,102","129,276",0
NY,25,Joe Morelle,D,"149,993","105,925",0
NY,26,Brian Higgins,D,"157,086","58,128",0
NY,27,Chris Collins,R,"129,594","132,402","5,700"
NC,01,G.K. Butterfield,D,"188,074","81,486",0
NC,02,George Holding,R,"148,959","167,382","9,427"
NC,03,Walter Jones,R,0,"186,353",0
NC,04,David Price,D,"242,002","80,546","11,947"
NC,05,Virginia Foxx,R,"118,593","158,495",0
NC,06,Mark Walker,R,"122,323","159,651",0
NC,07,David Rouzer,R,"119,606","155,705","4,599"
NC,08,Richard Hudson,R,"112,736","140,352",0
NC,09,Mark Harris,R,"136,507","138,348","5,042"
NC,10,Patrick McHenry,R,"112,386","164,060",0
NC,11,Mark Meadows,R,"115,840","177,240","6,074"
NC,12,Alma Adams,D,"202,228","74,639",0
NC,13,Ted Budd,R,"128,764","145,962","8,231"
ND,AL,Kelly Armstrong,R,"113,891","192,733","13,004"
OH,01,Steve Chabot,R,"135,467","151,107","5,126"
OH,02,Brad Wenstrup,R,"115,777","163,450","3,473"
OH,03,Joyce Beatty,D,"174,421","63,470",0
OH,04,Jim Jordan,R,"87,061","164,640",0
OH,05,Bob Latta,R,"97,352","173,894","7,184"
OH,06,Bill Johnson,R,"75,196","169,668",0
OH,07,Bob Gibbs,R,"105,105","150,317",0
OH,08,Warren Davidson,R,"84,738","170,561",0
OH,09,Marcy Kaptur,D,"152,682","73,183",0
OH,10,Mike Turner,R,"114,699","153,640","5,140"
OH,11,Marcia Fudge,D,"197,147","43,443",0
OH,12,Troy Balderson,R,"156,863","171,757","4,510"
OH,13,Tim Ryan,D,"149,271","96,225",0
OH,14,David Joyce,R,"134,059","166,483",0
OH,15,Steve Stivers,R,"112,546","166,632","5,477"
OH,16,Anthony Gonzalez,R,"126,736","166,933",0
OK,01,Kevin Hern,R,"103,042","150,129",0
OK,02,Markwayne Mullin,R,"65,021","140,451","10,530"
OK,03,Frank Lucas,R,"61,152","172,913",0
OK,04,Tom Cole,R,"78,088","149,227","9,323"
OK,05,Kendra Horn,D,"121,149","117,811",0
OR,01,Suzanne Bonamici,D,"215,701","110,633","14,312"
OR,02,Greg Walden,R,"141,036","203,565","15,461"
OR,03,Earl Blumenauer,D,"274,075","75,119","28,330"
OR,04,Peter DeFazio,D,"204,108","149,688","10,899"
OR,05,Kurt Schrader,D,"189,535","144,415","10,806"
PA,01,Brian Fitzpatrick,R,"160,098","168,841",0
PA,02,Brendan Boyle,D,"155,955","41,540",0
PA,03,Dwight Evans,D,"277,885","19,687",0
PA,04,Madeleine Dean,D,"210,219","121,117",0
PA,05,Mary Gay Scanlon,D,"191,571","102,815",0
PA,06,Chrissy Houlahan,D,"175,516","122,896",0
PA,07,Susan Wild,D,"137,122","111,862","7,899"
PA,08,Matt Cartwright,D,"134,519","111,640",0
PA,09,Dan Meuser,R,"98,232","146,675",0
PA,10,Scott Perry,R,"140,956","148,790",0
PA,11,Lloyd Smucker,R,"114,831","162,835",0
PA,12,Tom Marino,R,"81,959","159,947",0
PA,13,John Joyce,R,"73,788","175,835",0
PA,14,Guy Reschenthaler,R,"108,179","149,147",0
PA,15,Glenn Thompson,R,"76,769","162,386",0
PA,16,Mike Kelly,R,"121,585","132,088","2,902"
PA,17,Conor Lamb,D,"181,187","141,145",0
PA,18,Mike Doyle,D,"229,098",0,0
RI,01,David Cicilline,D,"114,604","57,115",0
RI,02,Jim Langevin,D,"125,090","71,716",0
SC,01,Joe Cunningham,D,"145,455","141,473",505
SC,02,Joe Wilson,R,"109,199","144,642","3,298"
SC,03,Jeff Duncan,R,"70,031","153,318","2,818"
SC,04,William Timmons,R,"89,182","145,321","9,447"
SC,05,Ralph Norman,R,"103,129","141,756","3,693"
SC,06,Jim Clyburn,D,"144,939","58,313","3,386"
SC,07,Tom Rice,R,"95,564","142,681",309
SD,AL,Dusty Johnson,R,"121,002","202,673","12,234"
TN,01,Phil Roe,R,"47,087","172,708","4,303"
TN,02,Tim Burchett,R,"86,635","171,994","2,578"
TN,03,Chuck Fleischmann,R,"84,632","156,385","4,514"
TN,04,Scott DesJarlais,R,"77,955","147,196","7,050"
TN,05,Jim Cooper,D,"177,661","84,196",0
TN,06,John Rose,R,"70,298","172,682","6,840"
TN,07,Mark Green,R,"81,574","169,769","2,648"
TN,08,David Kustoff,R,"74,126","166,400","5,509"
TN,09,Steve Cohen,D,"143,690","34,710","1,414"
TX,01,Louie Gohmert,R,"60,957","167,734","3,278"
TX,02,Dan Crenshaw,R,"118,570","138,502","4,183"
TX,03,Van Taylor,R,"137,547","168,775","4,595"
TX,04,John Ratcliffe,R,"57,209","188,003","3,161"
TX,05,Lance Gooden,R,"78,394","130,404",0
TX,06,Ron Wright,R,"116,040","135,779","3,724"
TX,07,Lizzie Fletcher,D,"126,168","114,859",0
TX,08,Kevin Brady,R,"67,027","198,241","4,597"
TX,09,Al Green,D,"135,427",0,"16,643"
TX,10,Michael McCaul,R,"142,511","154,652","6,569"
TX,11,Mike Conaway,R,"40,028","174,749","3,106"
TX,12,Kay Granger,R,"90,676","172,205","4,926"
TX,13,Mac Thornberry,R,"33,956","162,317","3,044"
TX,14,Randy Weber,R,"90,937","137,582","3,354"
TX,15,Vicente Gonzalez,D,"97,991","62,867","2,593"
TX,16,Veronica Escobar,D,"122,676","48,495","8,079"
TX,17,Bill Flores,R,"96,655","130,751","4,358"
TX,18,Sheila Jackson Lee,D,"137,567","38,081","7,196"
TX,19,Jodey Arrington,R,"49,941","152,012",0
TX,20,Joaquin Castro,D,"138,249",0,"32,727"
TX,21,Chip Roy,R,"167,020","176,913","7,497"
TX,22,Pete Olson,R,"137,500","152,318","6,488"
TX,23,Will Hurd,R,"101,753","102,903","4,402"
TX,24,Kenny Marchant,R,"124,580","132,992","4,861"
TX,25,Roger Williams,R,"135,288","162,288","5,124"
TX,26,Michael Burgess,R,"121,584","185,268","5,008"
TX,27,Michael Cloud,R,"75,761","124,958","6,360"
TX,28,Henry Cuellar,D,"117,178",0,"21,647"
TX,29,Sylvia Garcia,D,"87,679","27,945","1,187"
TX,30,Eddie Bernice Johnson,D,"166,102",0,"16,318"
TX,31,John Carter,R,"134,675","143,330","4,936"
TX,32,Colin Allred,D,"142,885","125,600","5,424"
TX,33,Marc Veasey,D,"90,311","26,007","2,291"
TX,34,Filemon Vela,D,"85,647","57,157",0
TX,35,Lloyd Doggett,D,"137,325","50,276","5,215"
TX,36,Brian Babin,R,"60,486","160,592",0
UT,01,Rob Bishop,R,"58,025","148,296","31,911"
UT,02,Chris Stewart,R,"87,773","133,656","10,744"
UT,03,John Curtis,R,"52,838","124,683","8,559"
UT,04,UNDECIDED,UNDECIDED,"108,515","103,609",0
VT,AL,Peter Welch,D,"188,547","70,705","13,199"
VA,01,Rob Wittman,R,"148,433","183,224",387
VA,02,Elaine Luria,D,"139,411","133,361",371
VA,03,Bobby Scott,D,"198,562",0,"19,105"
VA,04,Don McEachin,D,"186,412","107,594","4,426"
VA,05,Denver Riggleman,R,"145,040","165,339",547
VA,06,Ben Cline,R,"112,670","167,437",278
VA,07,Abigail Spanberger,D,"175,998","169,320","4,369"
VA,08,Don Beyer,D,"246,925","76,828",711
VA,09,Morgan Griffith,R,"85,830","160,931",214
VA,10,Jennifer Wexton,D,"206,245","160,790",598
VA,11,Gerry Connolly,D,"218,957","82,967","6,041"
WA,01,Suzan DelBene,D,"184,896","127,388",0
WA,02,Rick Larsen,D,"193,209",0,"76,475"
WA,03,Jaime Herrera Beutler,R,"140,651","157,745",0
WA,04,Dan Newhouse,R,"66,423","120,540",0
WA,05,Cathy McMorris Rodgers,R,"117,668","144,873",0
WA,06,Derek Kilmer,D,"184,570","106,661",0
WA,07,Pramila Jayapal,D,"315,427","62,647",0
WA,08,Kim Schrier,D,"148,327","133,242",0
WA,09,Adam Smith,D,"228,770",0,0
WA,10,Denny Heck,D,"142,656","89,994",0
WV,01,David McKinley,R,"70,402","128,725",0
WV,02,Alex Mooney,R,"86,678","109,018","6,213"
WV,03,Carol Miller,R,"75,776","98,048",0
WI,01,Bryan Steil,R,"137,507","177,490","10,006"
WI,02,Mark Pocan,D,"300,571",0,"6,186"
WI,03,Ron Kind,D,"187,615","126,897",0
WI,04,Gwen Moore,D,"208,127","60,240","7,228"
WI,05,Jim Sensenbrenner,R,"136,995","223,989",0
WI,06,Glenn Grothman,R,"144,530","180,314",0
WI,07,Sean Duffy,R,"123,548","193,126","4,372"
WI,08,Mike Gallagher,R,"119,263","209,400",0
WY,AL,Liz Cheney,R,"59,929","127,882","13,078"
AZ,sen,Kyrsten Sinema,D,"1,045,779","1,017,091",49396
FL,gov,Ron DeSantis,R,"4,042,195","4,075,879","100,542"
FL,sen,Rick Scott,R,"4,085,545","4,098,107",0
NV,sen,Jacky Rosen,D,"489,817","440,868",40813
TN,sen,Marsha Blackburn,R,"982,223","1,224,763",30687
TX,sen,Ted Cruz,R,"4,024,777","4,244,204",65240
